datetime;Level 101 (m);Level 102 (m);Level 103(m)
25/02/2024;0,5974;0,5828;0,8799
25/02/2024;0,5974;0,5826;0,88
25/02/2024;0,5969;0,5822;0,8797
25/02/2024;0,5973;0,5821;0,8799
25/02/2024;0,5965;0,5814;0,8793
25/02/2024;0,5967;0,5813;0,8792
25/02/2024;0,5965;0,581;0,879
25/02/2024;0,5966;0,581;0,8792
25/02/2024;0,5965;0,581;0,8791
25/02/2024;0,5966;0,5809;0,8794
25/02/2024;0,5971;0,5819;0,8799
25/02/2024;0,5972;0,5815;0,8799
25/02/2024;0,5963;0,5811;0,8796
25/02/2024;0,5956;0,5804;0,8787
25/02/2024;0,5966;0,581;0,8794
25/02/2024;0,5966;0,5809;0,8795
25/02/2024;0,5968;0,5813;0,8798
25/02/2024;0,5963;0,5809;0,8792
25/02/2024;0,5964;0,5812;0,8793
25/02/2024;0,5966;0,5817;0,8795
25/02/2024;0,5963;0,581;0,8787
25/02/2024;0,5961;0,5813;0,8786
25/02/2024;0,5953;0,5803;0,8779
25/02/2024;0,5956;0,5804;0,8778
25/02/2024;0,5949;0,5801;0,8771
25/02/2024;0,5959;0,5808;0,8779
25/02/2024;0,5957;0,5805;0,8777
25/02/2024;0,5958;0,581;0,8777
25/02/2024;0,5934;0,5818;0,8775
25/02/2024;0,5934;0,5819;0,8771
25/02/2024;0,5925;0,5812;0,8764
25/02/2024;0,5921;0,5812;0,876
25/02/2024;0,5925;0,5808;0,8757
25/02/2024;0,5925;0,5811;0,8755
25/02/2024;0,5925;0,5811;0,8756
25/02/2024;0,5926;0,5813;0,8757
25/02/2024;0,5929;0,5818;0,8758
25/02/2024;0,5932;0,5824;0,8761
25/02/2024;0,5926;0,5826;0,8758
25/02/2024;0,5923;0,5826;0,8756
25/02/2024;0,5918;0,5824;0,8754
25/02/2024;0,5921;0,5826;0,8754
25/02/2024;0,5913;0,5825;0,875
25/02/2024;0,5914;0,5824;0,8748
25/02/2024;0,591;0,5817;0,8744
25/02/2024;0,5912;0,5822;0,8745
25/02/2024;0,591;0,5825;0,8745
25/02/2024;0,5911;0,5831;0,8752
25/02/2024;0,5908;0,5831;0,875
25/02/2024;0,591;0,5832;0,8707
25/02/2024;0,5905;0,5828;0,8706
25/02/2024;0,5905;0,583;0,87
25/02/2024;0,5897;0,5827;0,8696
25/02/2024;0,5905;0,5833;0,8703
25/02/2024;0,5902;0,5829;0,8699
25/02/2024;0,5899;0,5827;0,8698
25/02/2024;0,5901;0,5831;0,8702
25/02/2024;0,5897;0,5829;0,8702
25/02/2024;0,5902;0,5835;0,8701
25/02/2024;0,5897;0,5839;0,8702
25/02/2024;0,5904;0,5843;0,8709
25/02/2024;0,59;0,5841;0,871
25/02/2024;0,59;0,5846;0,8708
25/02/2024;0,5901;0,5837;0,8715
25/02/2024;0,5894;0,5828;0,871
25/02/2024;0,5897;0,5829;0,8711
25/02/2024;0,5897;0,5828;0,8711
25/02/2024;0,59;0,5833;0,8718
25/02/2024;0,5895;0,5827;0,8716
25/02/2024;0,5894;0,5827;0,8719
25/02/2024;0,5889;0,5828;0,8717
25/02/2024;0,589;0,5825;0,8719
25/02/2024;0,589;0,5827;0,8718
25/02/2024;0,5888;0,5822;0,8717
25/02/2024;0,5888;0,5823;0,872
25/02/2024;0,589;0,5819;0,8719
25/02/2024;0,5887;0,5818;0,8721
25/02/2024;0,5892;0,5818;0,8723
25/02/2024;0,5898;0,5825;0,8731
25/02/2024;0,5889;0,5822;0,8725
25/02/2024;0,5895;0,5826;0,8729
25/02/2024;0,5893;0,5819;0,8726
25/02/2024;0,5891;0,5819;0,8708
25/02/2024;0,5897;0,5821;0,8708
25/02/2024;0,5898;0,5822;0,8711
25/02/2024;0,5896;0,5822;0,8711
